Point(x=782, y=260)
Point(x=862, y=265) 
Point(x=938, y=262) 
Point(x=1014, y=263) 
Point(x=1093, y=263) 
Point(x=783, y=349) 
Point(x=862, y=347) 
Point(x=939, y=346) 
Point(x=1015, y=349) 
Point(x=1092, y=346) 
Point(x=780, y=430) 
Point(x=865, y=432) 
Point(x=940, y=431) 
Point(x=1018, y=428) 
Point(x=1092, y=432) 
Point(x=786, y=517) 
Point(x=862, y=515) 
Point(x=939, y=515) 
Point(x=1014, y=513) 
Point(x=1090, y=516) 
Point(x=781, y=597) 
Point(x=859, y=597) 
Point(x=939, y=594) 
Point(x=1013, y=594) 
Point(x=1089, y=594) 
Point(x=781, y=679) 
Point(x=862, y=679)
Point(x=938, y=682)
Point(x=1013, y=682)
Point(x=1089, y=682)
