Point(x=766, y=794) 
Point(x=803, y=798) 
Point(x=834, y=803) 
Point(x=870, y=803) 
Point(x=904, y=803) 
Point(x=942, y=796) 
Point(x=978, y=798) 
Point(x=1012, y=798) 
Point(x=1047, y=798) 
Point(x=1085, y=799) 
Point(x=1117, y=804) 
Point(x=1158, y=803) 
Point(x=780, y=868) 
Point(x=817, y=868) 
Point(x=842, y=866)
Point(x=893, y=871) 
Point(x=926, y=872) 
Point(x=958, y=872) 
Point(x=992, y=869) 
Point(x=1031, y=870) 
Point(x=1066, y=870) 
Point(x=1106, y=870) 
Point(x=1137, y=874) 
Point(x=817, y=941) 
Point(x=850, y=940) 
Point(x=887, y=943) 
Point(x=921, y=943) 
Point(x=955, y=927)
Point(x=992, y=927)
Point(x=1029, y=927)
Point(x=1068, y=927)
Point(x=1099, y=927)
